[2025-12-17 15:53:36,874]161 numexpr.utils - INFO]
[2025-12-17 15:53:42,401]1025 httpx - INFO]
[2025-12-17 15:53:42,410]107 dagshub - INFO]
[2025-12-17 15:53:43,607]1025 httpx - INFO]
[2025-12-17 15:53:44,747]1025 httpx - INFO]
[2025-12-17 15:53:44,748]107 dagshub - INFO]
[2025-12-17 15:53:44,749]107 dagshub - INFO]
[2025-12-17 15:54:21,211]20 root - INFO]
[2025-12-17 15:54:23,033]59 root - INFO]
[2025-12-17 15:54:23,034]62 root - INFO]
[2025-12-17 15:54:23,162]28 root - INFO]
[2025-12-17 15:54:23,162]30 root - INFO]
[2025-12-17 15:54:23,162]28 root - INFO]
[2025-12-17 15:54:23,163]30 root - INFO]
