[2025-12-15 15:27:24,976]161 numexpr.utils - INFO]
[2025-12-15 15:27:30,513]59 root - INFO]
[2025-12-15 15:27:30,515]62 root - INFO]
[2025-12-15 15:27:30,521]16 root - INFO]
[2025-12-15 15:27:30,521]19 root - INFO]
[2025-12-15 15:27:30,523]23 root - INFO]
[2025-12-15 15:27:30,587]28 root - INFO]
[2025-12-15 15:27:30,588]30 root - INFO]
[2025-12-15 15:27:30,588]28 root - INFO]
[2025-12-15 15:27:30,588]30 root - INFO]
[2025-12-15 15:27:30,610]26 root - INFO]
[2025-12-15 15:27:30,610]29 root - INFO]
[2025-12-15 15:27:30,626]35 root - INFO]
