[2025-12-15 15:09:41,756]161 numexpr.utils - INFO]
[2025-12-15 15:09:49,580]59 root - INFO]
[2025-12-15 15:09:49,582]62 root - INFO]
[2025-12-15 15:09:49,590]16 root - INFO]
[2025-12-15 15:09:49,591]19 root - INFO]
[2025-12-15 15:09:49,596]23 root - INFO]
[2025-12-15 15:09:49,662]28 root - INFO]
[2025-12-15 15:09:49,662]30 root - INFO]
[2025-12-15 15:09:49,663]28 root - INFO]
[2025-12-15 15:09:49,663]30 root - INFO]
[2025-12-15 15:09:49,685]26 root - INFO]
[2025-12-15 15:09:49,686]29 root - INFO]
[2025-12-15 15:09:49,709]35 root - INFO]
