[2025-12-22 14:37:59,245]161 numexpr.utils - INFO]
[2025-12-22 14:38:07,704]1025 httpx - INFO]
[2025-12-22 14:38:07,709]107 dagshub - INFO]
[2025-12-22 14:38:10,469]1025 httpx - INFO]
[2025-12-22 14:38:12,620]1025 httpx - INFO]
[2025-12-22 14:38:12,623]107 dagshub - INFO]
[2025-12-22 14:38:12,624]107 dagshub - INFO]
[2025-12-22 14:38:28,942]25 root - INFO]
[2025-12-22 14:38:31,860]59 root - INFO]
[2025-12-22 14:38:31,863]62 root - INFO]
[2025-12-22 14:38:31,947]28 root - INFO]
[2025-12-22 14:38:31,948]30 root - INFO]
[2025-12-22 14:38:31,948]28 root - INFO]
[2025-12-22 14:38:31,948]30 root - INFO]
