[2025-12-22 13:19:41,711]161 numexpr.utils - INFO]
[2025-12-22 13:19:57,511]1025 httpx - INFO]
[2025-12-22 13:19:57,534]107 dagshub - INFO]
[2025-12-22 13:20:00,294]1025 httpx - INFO]
[2025-12-22 13:20:01,401]1025 httpx - INFO]
[2025-12-22 13:20:01,403]107 dagshub - INFO]
[2025-12-22 13:20:01,404]107 dagshub - INFO]
[2025-12-22 13:27:46,862]20 root - INFO]
[2025-12-22 13:27:48,057]59 root - INFO]
[2025-12-22 13:27:48,058]62 root - INFO]
[2025-12-22 13:27:48,159]28 root - INFO]
[2025-12-22 13:27:48,159]30 root - INFO]
[2025-12-22 13:27:48,159]28 root - INFO]
[2025-12-22 13:27:48,160]30 root - INFO]
