[2025-12-22 15:42:47,169]161 numexpr.utils - INFO]
[2025-12-22 15:42:59,915]1025 httpx - INFO]
[2025-12-22 15:42:59,927]107 dagshub - INFO]
[2025-12-22 15:43:01,763]1025 httpx - INFO]
[2025-12-22 15:43:03,501]1025 httpx - INFO]
[2025-12-22 15:43:03,503]107 dagshub - INFO]
[2025-12-22 15:43:03,504]107 dagshub - INFO]
[2025-12-22 15:43:52,251]25 root - INFO]
[2025-12-22 15:43:55,604]59 root - INFO]
[2025-12-22 15:43:55,605]62 root - INFO]
[2025-12-22 15:43:55,670]28 root - INFO]
[2025-12-22 15:43:55,671]30 root - INFO]
[2025-12-22 15:43:55,671]28 root - INFO]
[2025-12-22 15:43:55,671]30 root - INFO]
