[2025-12-22 14:33:40,981]161 numexpr.utils - INFO]
[2025-12-22 14:33:58,865]1025 httpx - INFO]
[2025-12-22 14:33:58,891]107 dagshub - INFO]
[2025-12-22 14:34:00,547]1025 httpx - INFO]
[2025-12-22 14:34:04,006]1025 httpx - INFO]
[2025-12-22 14:34:04,009]107 dagshub - INFO]
[2025-12-22 14:34:04,010]107 dagshub - INFO]
[2025-12-22 14:34:22,382]25 root - INFO]
[2025-12-22 14:34:42,986]59 root - INFO]
[2025-12-22 14:34:42,987]62 root - INFO]
[2025-12-22 14:34:43,094]28 root - INFO]
[2025-12-22 14:34:43,094]30 root - INFO]
[2025-12-22 14:34:43,094]28 root - INFO]
[2025-12-22 14:34:43,094]30 root - INFO]
